9951,true,302757,174978,12,297,1693035662,1223309261,1432409732,174942,"CC BY-SA 3.0","https://stackoverflow.com/questions/174942/how-should-strace-be-used","How should strace be used?"
87234,true,984943,1642035,28,10069,1692999285,1256799465,1680185464,1642028,"CC BY-SA 4.0","https://stackoverflow.com/questions/1642028/what-is-the-operator-in-c-c","What is the &#39;--&gt;&#39; operator in C/C++?"
182668,false,27,,0,0,1692989009,1692987049,1692989009,76979644,"CC BY-SA 4.0","https://stackoverflow.com/questions/76979644/installed-nvm-on-a-new-ubuntu-system-get-annoying-errors-from-its-startup-file","Installed nvm on a new Ubuntu system, get annoying errors from its startup file"
9951,true,1130604,100146,25,7259,1692914568,1221804646,1675831759,100003,"CC BY-SA 4.0","https://stackoverflow.com/questions/100003/what-are-metaclasses-in-python","What are metaclasses in Python?"
218196,true,237559,34361380,4,799,1692901923,1450461480,1600623946,34361379,"CC BY-SA 4.0","https://stackoverflow.com/questions/34361379/are-arrow-functions-and-functions-equivalent-interchangeable","Are &#39;Arrow Functions&#39; and &#39;Functions&#39; equivalent / interchangeable?"
13302,false,14,,0,1,1692855463,1692855463,,76966470,"CC BY-SA 4.0","https://stackoverflow.com/questions/76966470/trouble-with-mustache-sharp-multiplying-empty-lines","Trouble with mustache-sharp multiplying empty lines"
224671,true,148197,3853776,15,480,1692801877,1286181600,1614625960,3853722,"CC BY-SA 4.0","https://stackoverflow.com/questions/3853722/how-to-insert-newlines-on-argparse-help-text","How to insert newlines on argparse help text?"
1863229,true,4898,,1,9,1692712796,1524200312,,49934284,"CC BY-SA 3.0","https://stackoverflow.com/questions/49934284/line-number-info-not-available-error-while-debugging-ant-project-in-intellij","Line number info not available error while debugging Ant project in IntelliJ"
771848,true,51844,41227080,15,90,1692638555,1482118077,1482190759,41215365,"CC BY-SA 3.0","https://stackoverflow.com/questions/41215365/nested-f-strings","Nested f-strings"
3681880,true,215201,35931947,7,179,1692516984,1457668786,1495541910,35931946,"CC BY-SA 3.0","https://stackoverflow.com/questions/35931946/basic-example-for-sharing-text-or-image-with-uiactivityviewcontroller-in-swift","Basic example for sharing text or image with UIActivityViewController in Swift"
505088,true,2231,20768536,2,37,1692389389,1387907127,,20764836,"CC BY-SA 3.0","https://stackoverflow.com/questions/20764836/why-is-1-x1x-preferred-to-1-x2","Why is (1-x)(1+x) preferred to (1-x^2)?"
